short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club,league,nationality,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_speed
Šuker,Davor Šuker,"ST, CF",87,0,56,01-01-1968,,,Icon,Icon,Croatia,83,89,79,88,43,75,,,,,,
Kluivert,Patrick Stephan Kluivert,"ST, CF",87,0,48,01-07-1976,,,Icon,Icon,Netherlands,84,86,76,81,40,79,,,,,,
Makélélé,Claude Makélélé Sinda,"CDM, CM",87,0,51,18-02-1973,,,Icon,Icon,France,81,48,76,78,86,86,,,,,,
Barnes,John Charles Bryan Barnes,"LW, LM, CAM",87,0,60,07-11-1963,,,Icon,Icon,England,89,85,83,89,44,83,,,,,,
Lampard,Frank James Lampard,"CM, CDM, CAM",87,0,46,20-06-1978,,,Icon,Icon,England,77,88,86,84,71,80,,,,,,
Trezeguet,David Sergio Trezeguet,"ST, CF",87,0,46,15-10-1977,,,Icon,Icon,France,82,88,67,79,42,77,,,,,,
Rush,Ian James Rush,"ST, CF",87,0,62,20-10-1961,,,Icon,Icon,Wales,84,89,69,83,43,78,,,,,,
Zola,Gianfranco Zola,"CF, ST",87,0,58,05-07-1966,,,Icon,Icon,Italy,85,88,85,89,41,63,,,,,,
Pirès,Robert Emmanuel Pirès,"LM, RM, CAM",87,0,50,29-10-1973,,,Icon,Icon,France,86,79,84,86,38,64,,,,,,
Rijkaard,Franklin Edmundo Rijkaard,"CDM, CB",87,0,61,30-09-1962,,,Icon,Icon,Netherlands,77,73,80,77,87,86,,,,,,
Vidić,Nemanja Vidić,CB,87,0,42,21-10-1981,,,Icon,Icon,Serbia,78,48,62,62,90,89,,,,,,
Xabi Alonso,Xabier Alonso Olano,"CDM, CM",87,0,42,25-11-1981,,,Icon,Icon,Spain,71,77,86,78,82,80,,,,,,
Petit,Emmanuel Laurent Petit,"CDM, LB, CM",87,0,54,22-09-1970,,,Icon,Icon,France,77,77,79,76,85,87,,,,,,
Verón,Juan Sebastián Verón,"CM, CAM",86,0,49,09-03-1975,,,Icon,Icon,Argentina,75,81,86,81,73,81,,,,,,
Cole,Ashley Cole,"LB, LWB",86,0,43,20-12-1980,,,Icon,Icon,England,87,65,79,80,84,77,,,,,,
Essien,Michael Kojo Essien,"CDM, CM",86,0,41,03-12-1982,,,Icon,Icon,Ghana,82,73,77,78,85,86,,,,,,
Larsson,Henrik Edward Larsson,"ST, CF",86,0,53,20-09-1971,,,Icon,Icon,Sweden,87,86,73,82,45,71,,,,,,
Crespo,Hernán Jorge Crespo,"ST, CF",86,0,49,05-07-1975,,,Icon,Icon,Argentina,86,86,70,85,36,70,,,,,,
Campbell,Solomon Campbell,CB,86,0,50,18-09-1974,,,Icon,Icon,England,81,45,60,58,87,88,,,,,,
Keane,Roy Maurice Keane,CM,86,0,53,10-08-1971,,,Icon,Icon,Ireland,72,69,82,78,84,87,,,,,,
Gattuso,Gennaro Ivan Gattuso,"CDM, CM",86,0,46,09-01-1978,,,Icon,Icon,Italy,73,62,69,70,88,87,,,,,,
Zambrotta,Gianluca Zambrotta,"RB, RWB, LB",86,0,47,19-02-1977,,,Icon,Icon,Italy,87,69,80,81,84,82,,,,,,
Hernández,Luis Arturo Hernández Carreón,"ST, CF",86,0,55,22-12-1968,,,Icon,Icon,Mexico,89,85,71,86,45,67,,,,,,
