short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club,league,nationality,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_speed
Touré,Yaya Touré,"CDM, CM",87,0,41,13-05-1983,,,Hero,,Côte d'Ivoire,78,83,86,84,80,89,,,,,,
Córdoba,Iván Córdoba,CB,87,0,48,11-08-1976,,,Hero,,Colombia,86,63,65,68,90,87,,,,,,
Berbatov,Dimitar Berbatov,"ST, CF",87,0,43,30-01-1981,,,Hero,,Bulgaria,80,85,81,87,34,74,,,,,,
Marchisio,Claudio Marchisio,"CM, CDM",87,0,38,19-01-1986,,,Hero,,Italy,82,81,85,86,80,82,,,,,,
Campos,Jorge Campos Navarrete,GK,87,0,56,15-10-1967,,,Hero,,Mexico,,,,,,,93,83,81,90,84,80
Nakata,Hidetoshi Nakata,CAM,87,0,47,22-01-1977,,,Hero,,Japan,85,84,85,86,62,65,,,,,,
Brolin,Per Tomas Brolin ,"ST, CF, RW",87,0,54,29-11-1969,,,Hero,,Sweden,87,88,83,90,59,69,,,,,,
Kewell,Harry Kewell,"LW, LM, CAM",87,0,46,22-09-1978,,,Hero,,Australia,90,85,88,88,52,69,,,,,,
McManaman,Steve McManaman,"RM, LM, CAM",87,0,52,11-02-1972,,,Hero,,England,89,77,84,87,46,77,,,,,,
Robbie Keane,Robbie Keane,"ST, CF",86,0,44,08-07-1980,,,Hero,,Ireland,87,88,76,88,45,76,,,,,,
Giuly,Ludovic Giuly,"RM, RW",86,0,48,10-07-1976,,,Hero,,France,88,83,81,85,49,58,,,,,,
Solskjær,Ole Gunnar Solskjær,"ST, CF",86,0,51,26-02-1973,,,Hero,,Norway,85,88,75,84,45,66,,,,,,
Kanu,Nwankwo Kanu,"CF, ST",86,0,48,01-08-1976,,,Hero,,Nigeria,79,85,81,87,40,75,,,,,,
Ljungberg,Karl Fredrik Ljungberg,"LM, RM",86,0,47,16-04-1977,,,Hero,,Sweden,87,81,82,86,45,77,,,,,,
Donovan,Landon Donovan,"CF, ST",86,0,42,04-03-1982,,,Hero,,United States,89,86,81,85,46,70,,,,,,
Mostovoi,Aleksandr Mostovoi,"CAM, LM",86,0,54,10-10-1969,,,Hero,,Russia,78,83,86,88,62,77,,,,,,
Rosický,Tomáš Rosický,"CAM, RM, CM",86,0,43,04-10-1980,,,Hero,,Czech Republic,83,81,86,88,57,69,,,,,,
Kuyt,Dirk Kuyt,"CAM, CM",86,0,44,22-07-1980,,,Hero,,Netherlands,84,88,80,83,70,82,,,,,,
Capdevila,José Manuel Capdevila,"LB, LWB",86,0,46,03-02-1978,,,Hero,,Spain,84,76,81,79,85,80,,,,,,
Govou,Sidney Govou,"ST, CF",86,0,45,27-07-1979,,,Hero,,France,89,89,80,88,55,70,,,,,,
Dudek,Jerzy Dudek,GK,86,0,51,23-03-1973,,,Hero,,Poland,,,,,,,86,83,78,90,60,85
King,Ledley King,CB,86,0,43,06-06-1981,,,Hero,,England,80,55,69,72,89,80,,,,,,
Al-Jaber,Sami Al-Jaber,"ST, CF",86,0,52,15-09-1972,,,Hero,,Saudi Arabia,88,86,75,83,44,71,,,,,,
Ramires,Ramires Santos do Nascimen,"CDM, RM",86,0,37,24-03-1987,,,Hero,,Brazil,88,78,80,81,84,83,,,,,,
Park Ji Sung,Park Ji-sung,"LM, RM",86,0,43,25-02-1981,,,Hero,,South Korea,85,80,83,85,78,81,,,,,,
Smolarek,Włodzimierz Smolarek,"ST, CF",86,0,43,03-03-1981,,,Hero,,Poland,91,85,80,90,41,83,,,,,,
Riise,John Arne Riise,"LB, LWB",86,0,44,24-09-1980,,,Hero,,Norway,83,81,81,80,81,86,,,,,,
Ricken,Lars Ricken,"CAM, RM",85,0,48,27-09-1976,,,Hero,,Germany,83,85,80,83,58,65,,,,,,
Beasley,DaMarcus Beasley,"LM, LB",85,0,42,28-01-1982,,,Hero,,United States,91,77,79,86,73,74,,,,,,
Crouch,Peter Crouch,"ST, CF",85,0,43,30-01-1981,,,Hero,,England,74,87,75,78,52,80,,,,,,
Cahill,Tim Cahill,"ST, CF, CAM",85,0,44,06-12-1979,,,Hero,,Australia,80,85,76,81,62,86,,,,,,
Dempsey,Clint Dempsey,"CAM, LW",85,0,41,09-03-1983,,,Hero,,United States,82,86,81,85,47,80,,,,,,
Al Owairan,Saeed Al-Owairan,"RW, RM, CAM",85,0,57,19-08-1967,,,Hero,,Saudi Arabia,94,82,80,86,35,72,,,,,,
